period,entity,account,account_name,balance_usd,balance_local,local_currency,balance_manipulation_risk,expense_shifting_risk,reserve_manipulation,classification_error
2025-08,ENT101,3030,Retained Earnings,-60906.97,-56034.41,EUR,False,False,False,False
2025-08,ENT101,3040,Treasury Stock,-734685.73,-675910.87,EUR,False,False,False,False
2025-08,ENT101,3050,Accumulated OCI,-697624.85,-641814.86,EUR,False,False,False,False
2025-08,ENT101,4000,Product Sales,-583273.3,-536611.43,EUR,True,False,False,False
2025-08,ENT101,4010,Service Revenue,-340142.67,-312931.26,EUR,False,False,False,True
2025-08,ENT101,4020,Licensing Revenue,-676865.62,-622716.37,EUR,False,False,False,False
2025-08,ENT101,4030,Interest Income,-200396.96,-184365.2,EUR,False,False,False,False
2025-08,ENT101,4040,Other Revenue,-491288.73,-451985.63,EUR,False,False,False,False
2025-08,ENT101,5000,Cost of Goods Sold,254175.67,233841.61,EUR,False,False,True,False
2025-08,ENT101,5010,Direct Labor,479217.17,440879.79,EUR,False,False,False,False
2025-08,ENT101,5020,Manufacturing Overhead,444133.82,408603.12,EUR,False,False,False,False
2025-08,ENT101,6000,Salaries & Wages,168525.07,155043.07,EUR,False,False,False,False
2025-08,ENT101,6010,Benefits,275263.75,253242.65,EUR,False,False,False,False
2025-08,ENT101,6020,Rent,130393.35,119961.88,EUR,False,False,False,True
2025-08,ENT101,6030,Utilities,460682.53,423827.93,EUR,False,True,False,False
2025-08,ENT101,6040,Insurance,441733.36,406394.69,EUR,False,False,False,False
2025-08,ENT101,6050,Professional Fees,184300.16,169556.14,EUR,False,False,False,False
2025-08,ENT101,6060,Marketing,337527.27,310525.09,EUR,False,False,False,False
2025-08,ENT101,6070,Travel,324036.6,298113.67,EUR,False,False,True,False
2025-08,ENT101,6080,Office Supplies,118777.67,109275.46,EUR,False,False,False,False
2025-08,ENT101,6090,Software Licenses,393129.86,361679.47,EUR,False,False,False,False
2025-08,ENT101,6100,Depreciation,292720.56,269302.92,EUR,False,False,False,False
2025-08,ENT101,7000,Interest Expense,400381.92,368351.36,EUR,False,False,False,False
2025-08,ENT101,7010,Bank Fees,288659.15,265566.42,EUR,False,False,False,False
2025-08,ENT101,8000,Other Expenses,50257.35,46236.76,EUR,False,False,False,False
2025-08,ENT101,9000,Income Tax Expense,195870.23,180200.61,EUR,False,False,False,False
2025-08,ENT102,1000,Cash and Cash Equivalents,19543.6,15439.45,GBP,False,False,False,False
2025-08,ENT102,1010,Petty Cash,465258.32,367554.07,GBP,False,False,False,False
2025-08,ENT102,1020,Money Market,440573.72,348053.24,GBP,False,False,False,False
2025-08,ENT102,1100,Accounts Receivable,417516.11,329837.73,GBP,False,False,False,False
2025-08,ENT102,1110,Notes Receivable,160681.92,126938.72,GBP,False,False,False,False
2025-08,ENT102,1200,Allowance for Doubtful Accounts,-38383.33,-30322.83,GBP,False,False,False,False
2025-08,ENT102,1300,Raw Materials,440224.7,347777.52,GBP,False,False,False,False
2025-08,ENT102,1310,Work in Process,474005.23,374464.13,GBP,False,False,False,False
2025-08,ENT102,1320,Finished Goods,51970.19,41056.45,GBP,False,False,False,False
2025-08,ENT102,1400,Prepaid Insurance,248135.33,196026.91,GBP,False,False,False,False
2025-08,ENT102,1410,Prepaid Rent,43914.13,34692.17,GBP,False,False,False,False
2025-08,ENT102,1420,Prepaid Software,382695.06,302329.1,GBP,False,True,False,False
2025-08,ENT102,1500,Land,385258.87,304354.51,GBP,False,False,False,True
2025-08,ENT102,1510,Buildings,72911.82,57600.34,GBP,False,False,False,False
2025-08,ENT102,1520,Equipment,242888.37,191881.81,GBP,False,False,False,True
2025-08,ENT102,1530,Vehicles,279403.76,220728.97,GBP,False,False,False,False
2025-08,ENT102,1600,Accumulated Depreciation - Buildings,-139877.75,-110503.42,GBP,False,False,False,False
2025-08,ENT102,1610,Accumulated Depreciation - Equipment,-437492.19,-345618.83,GBP,False,False,False,False
2025-08,ENT102,1700,Short-term Investments,217337.59,171696.7,GBP,False,False,False,False
2025-08,ENT102,1710,Long-term Investments,113781.12,89887.09,GBP,False,False,False,False
2025-08,ENT102,1800,Patents,274255.08,216661.52,GBP,False,False,False,False
2025-08,ENT102,1810,Trademarks,367666.22,290456.32,GBP,False,False,False,False
2025-08,ENT102,1820,Goodwill,108564.02,85765.58,GBP,False,False,False,False
2025-08,ENT102,2000,Accounts Payable,-100397.72,-79314.2,GBP,False,False,False,False
2025-08,ENT102,2010,Accrued Expenses,-298593.31,-235888.72,GBP,False,False,False,False
2025-08,ENT102,2020,Payroll Liabilities,-198464.64,-156787.06,GBP,False,False,False,False
2025-08,ENT102,2030,Tax Payable,-137049.02,-108268.73,GBP,False,False,False,False
2025-08,ENT102,2040,Interest Payable,-160096.99,-126476.63,GBP,False,False,False,False
2025-08,ENT102,2050,Customer Deposits,-45091.22,-35622.06,GBP,False,False,False,False
2025-08,ENT102,2100,Bank Loans,-75162.23,-59378.16,GBP,False,False,False,False
2025-08,ENT102,2110,Bonds Payable,-108044.81,-85355.4,GBP,False,False,False,False
2025-08,ENT102,2120,Mortgage Payable,-180609.53,-142681.53,GBP,False,False,False,False
2025-08,ENT102,2200,Deferred Revenue,-76733.27,-60619.29,GBP,False,False,False,False
2025-08,ENT102,2210,Pension Obligations,-73863.04,-58351.8,GBP,False,False,False,False
2025-08,ENT102,3000,Common Stock,-117443.43,-92780.31,GBP,False,False,False,False
2025-08,ENT102,3010,Preferred Stock,-649547.81,-513142.77,GBP,False,False,False,False
2025-08,ENT102,3020,Additional Paid-in Capital,-267494.69,-211320.81,GBP,False,False,False,False
2025-08,ENT102,3030,Retained Earnings,-910149.01,-719017.72,GBP,False,False,False,False
2025-08,ENT102,3040,Treasury Stock,-866653.63,-684656.37,GBP,False,False,False,False
2025-08,ENT102,3050,Accumulated OCI,-117314.48,-92678.44,GBP,True,False,False,False
2025-08,ENT102,4000,Product Sales,-314204.17,-248221.3,GBP,False,False,False,True
2025-08,ENT102,4010,Service Revenue,-702080.0,-554643.2,GBP,True,False,False,False
2025-08,ENT102,4020,Licensing Revenue,-292813.13,-231322.37,GBP,False,False,False,False
2025-08,ENT102,4030,Interest Income,-219080.66,-173073.72,GBP,False,False,False,False
2025-08,ENT102,4040,Other Revenue,-941962.82,-744150.63,GBP,False,False,False,False
2025-08,ENT102,5000,Cost of Goods Sold,306969.39,242505.82,GBP,False,False,False,False
2025-08,ENT102,5010,Direct Labor,262701.96,207534.55,GBP,True,False,False,False
2025-08,ENT102,5020,Manufacturing Overhead,403078.74,318432.21,GBP,False,False,False,False
2025-08,ENT102,6000,Salaries & Wages,413373.65,326565.18,GBP,False,False,False,False
2025-08,ENT102,6010,Benefits,135684.46,107190.72,GBP,False,False,False,False
2025-08,ENT102,6020,Rent,93618.87,73958.9,GBP,False,False,False,False
2025-08,ENT102,6030,Utilities,243973.03,192738.7,GBP,False,False,False,False
2025-08,ENT102,6040,Insurance,240610.38,190082.2,GBP,False,False,False,False
2025-08,ENT102,6050,Professional Fees,260161.1,205527.27,GBP,False,False,False,False
2025-08,ENT102,6060,Marketing,378084.13,298686.46,GBP,False,False,False,False
2025-08,ENT102,6070,Travel,353014.05,278881.1,GBP,False,False,False,False
2025-08,ENT102,6080,Office Supplies,492874.35,389370.73,GBP,False,False,False,False
2025-08,ENT102,6090,Software Licenses,94288.04,74487.55,GBP,False,False,False,False
2025-08,ENT102,6100,Depreciation,231179.58,182631.87,GBP,False,False,False,False
2025-08,ENT102,7000,Interest Expense,202686.17,160122.08,GBP,False,False,False,False
2025-08,ENT102,7010,Bank Fees,437752.64,345824.59,GBP,True,False,False,False
2025-08,ENT102,8000,Other Expenses,161895.35,127897.33,GBP,False,False,False,False
2025-08,ENT102,9000,Income Tax Expense,135594.01,107119.27,GBP,False,False,False,False
2025-08,ENT100,9999,Suspense Account - Imbalance,22982.06,21672.2,USD,False,False,False,False
2025-08,ENT101,9999,Suspense Account - Imbalance,14648.71,13240.52,EUR,False,False,False,False
2025-08,ENT102,9999,Suspense Account - Imbalance,46240.01,22713.41,GBP,False,False,False,False
