period,entity,invoice_id,vendor_name,invoice_date,due_date,amount_local,amount_usd,currency,status,description,bill_date,vendor,amount
2025-08,ENT101,AP050014,Cisco Corporation,2025-08-11,2025-09-10,93256.74,100717.28,EUR,Outstanding,Cisco - Professional Services,2025-08-11,Cisco Corporation,100717.28
2025-08,ENT100,AP050015,Cisco Corporation,2025-08-20,2025-09-19,99853.17,99853.17,USD,Outstanding,Cisco - Professional Services,2025-08-20,Cisco Corporation,99853.17
2025-08,ENT100,AP050016,Oracle Corporation,2025-08-17,2025-09-16,30194.04,30194.04,USD,Paid,Oracle - Professional Services,2025-08-17,Oracle Corporation,30194.04
2025-08,ENT100,AP050017,Oracle Corporation,2025-08-12,2025-09-11,32073.8,32073.8,USD,Paid,Oracle - Professional Services,2025-08-12,Oracle Corporation,32073.8
2025-08,ENT102,AP050018,SAP Corporation,2025-08-20,2025-09-19,98466.06,125051.9,GBP,Disputed,SAP - Professional Services,2025-08-20,SAP Corporation,125051.9
2025-08,ENT102,AP050019,Microsoft Corporation,2025-08-22,2025-09-21,82624.89,75000,GBP,Paid,Microsoft - Professional Services,2025-08-22,Microsoft Corporation,75000
2025-08,ENT102,AP050020,Google Corporation,2025-08-31,2025-09-30,88422.06,112296.02,GBP,Paid,Google - Professional Services,2025-08-31,Google Corporation,112296.02
2025-08,ENT100,AP050021,Google Corporation,2025-08-24,2025-09-23,57556.25,57556.25,USD,Paid,Google - Professional Services,2025-08-24,Google Corporation,57556.25
2025-08,ENT101,AP050022,Oracle Corporation,2025-08-23,2025-09-22,37573.63,40579.52,EUR,Disputed,Oracle - Professional Services,2025-08-23,Oracle Corporation,40600.0
2025-08,ENT102,AP050023,SAP Corporation,2025-08-17,2025-09-16,51410.53,65291.37,GBP,Outstanding,SAP - Professional Services,2025-08-17,SAP Corporation,65300.0
2025-08,ENT100,AP050024,IBM Corporation,2025-08-27,2025-09-26,31284.62,31284.62,USD,Outstanding,IBM - Professional Services,2025-08-27,IBM Corporation,31284.62
2025-08,ENT101,AP050025,Amazon Corporation,2025-08-21,2025-09-20,98080.81,105927.27,EUR,Outstanding,Amazon - Professional Services,2025-08-21,Amazon Corporation,105927.27
2025-08,ENT102,AP050026,Cisco Corporation,2025-08-18,2025-09-17,72038.41,91488.78,GBP,Disputed,Cisco - Professional Services,2025-08-18,Cisco Corporation,91488.78
2025-08,ENT100,AP050027,Google Corporation,2025-08-03,2025-09-02,94779.84,94779.84,USD,Disputed,Google - Professional Services,2025-08-03,Google Corporation,94779.84
2025-08,ENT100,AP050028,Microsoft Corporation,2025-08-27,2025-09-26,40075.52,40075.52,USD,Disputed,Microsoft - Professional Services,2025-08-27,Microsoft Corporation,40075.52
2025-08,ENT100,AP050029,IBM Corporation,2025-08-05,2025-09-04,8973.74,8973.74,USD,Paid,IBM - Professional Services,2025-08-05,IBM Corporation,8973.74
2025-08,ENT100,AP050030,Adobe Corporation,2025-08-07,2025-09-06,69796.34,69796.34,USD,Disputed,Adobe - Professional Services,2025-08-07,Adobe Corporation,69796.34
2025-08,ENT100,AP050031,Adobe Corporation,2025-08-25,2025-09-24,58188.93,58188.93,USD,Paid,Adobe - Professional Services,2025-08-25,Adobe Corporation,58188.93
2025-08,ENT102,AP050032,Amazon Corporation,2025-08-30,2025-09-29,93338.7,118540.14,GBP,Outstanding,Amazon - Professional Services,2025-08-30,Amazon Corporation,118540.14
2025-08,ENT100,AP050033,IBM Corporation,2025-08-01,2025-08-31,22039.26,22039.26,USD,Paid,IBM - Professional Services,2025-08-01,IBM Corporation,22039.26
2025-08,ENT101,AP050034,Oracle Corporation,2025-08-09,2025-09-08,20123.8,21733.7,EUR,Disputed,Oracle - Professional Services,2025-08-09,Oracle Corporation,21733.7
2025-08,ENT100,AP050035,IBM Corporation,2025-08-28,2025-09-27,8678.84,8678.84,USD,Paid,IBM - Professional Services,2025-08-28,IBM Corporation,8700.0
2025-08,ENT100,AP050036,Oracle Corporation,2025-08-27,2025-09-26,92252.93,92252.93,USD,Paid,Oracle - Professional Services,2025-08-27,Oracle Corporation,92252.93
2025-08,ENT101,AP050037,Oracle Corporation,2025-08-08,2025-09-07,7248.12,7827.97,EUR,Outstanding,Oracle - Professional Services,2025-08-08,Oracle Corporation,7827.97
2025-08,ENT101,AP050038,Adobe Corporation,2025-08-09,2025-09-08,87113.53,94082.61,EUR,Paid,Adobe - Professional Services,2025-08-09,Adobe Corporation,94082.61
2025-08,ENT101,AP050039,IBM Corporation,2025-08-22,2025-09-21,98209.22,106065.96,EUR,Disputed,IBM - Professional Services,2025-08-22,IBM Corporation,106065.96
2025-08,ENT101,AP050040,Microsoft Corporation,2025-08-04,2025-09-03,88318.65,95384.14,EUR,Paid,Microsoft - Professional Services,2025-08-04,Microsoft Corporation,95400.0
2025-08,ENT100,AP050041,SAP Corporation,2025-08-02,2025-09-01,15298.24,15298.24,USD,Paid,SAP - Professional Services,2025-08-02,SAP Corporation,15298.24
2025-08,ENT101,AP050042,Adobe Corporation,2025-08-14,2025-09-13,62589.84,67597.03,EUR,Disputed,Adobe - Professional Services,2025-08-14,Adobe Corporation,67597.03
2025-08,ENT100,AP050043,IBM Corporation,2025-08-29,2025-09-28,59775.86,59775.86,USD,Paid,IBM - Professional Services,2025-08-29,IBM Corporation,59775.86
2025-08,ENT100,AP050044,IBM Corporation,2025-08-01,2025-08-31,54392.43,54392.43,USD,Disputed,IBM - Professional Services,2025-08-01,IBM Corporation,54392.43
2025-08,ENT102,AP050045,Oracle Corporation,2025-08-12,2025-09-11,45973.25,58386.03,GBP,Disputed,Oracle - Professional Services,2025-08-12,Oracle Corporation,58386.03
2025-08,ENT101,AP050046,Adobe Corporation,2025-08-22,2025-09-21,85561.45,92406.37,EUR,Disputed,Adobe - Professional Services,2025-08-22,Adobe Corporation,92406.37
2025-08,ENT101,AP050047,SAP Corporation,2025-08-22,2025-09-21,43797.33,47301.11,EUR,Paid,SAP - Professional Services,2025-08-22,SAP Corporation,47300.0
2025-08,ENT102,AP050048,SAP Corporation,2025-08-18,2025-09-17,17092.34,25000,GBP,Paid,SAP - Professional Services,2025-08-18,SAP Corporation,25000
2025-08,ENT102,AP050049,IBM Corporation,2025-08-22,2025-09-21,76072.78,96612.43,GBP,Outstanding,IBM - Professional Services,2025-08-22,IBM Corporation,96600.0
2025-08,ENT102,AP050050,SAP Corporation,2025-08-13,2025-09-12,57054.04,72458.62,GBP,Outstanding,SAP - Professional Services,2025-08-13,SAP Corporation,72458.62
2025-08,ENT101,AP050051,SAP Corporation,2025-08-03,2025-09-06,45839.37,49506.52,EUR,Disputed,SAP - Professional Services,2025-08-03,SAP Corporation,49500.0
2025-08,ENT102,AP050052,Adobe Corporation,2025-08-15,2025-09-14,46969.67,59651.48,GBP,Disputed,Adobe - Professional Services,2025-08-15,Adobe Corporation,59700.0
2025-08,ENT100,AP050053,Cisco Corporation,2025-08-26,2025-09-25,90612.18,90612.18,USD,Disputed,Cisco - Professional Services,2025-08-26,Cisco Corporation,90612.18
2025-08,ENT100,AP050054,Google Corporation,2025-08-10,2025-09-09,53967.94,53967.94,USD,Disputed,Google - Professional Services,2025-08-10,Google Corporation,53967.94
2025-08,ENT102,AP050055,Priority Services Inc,2025-08-03,2025-09-02,82750.23,58150.382271518996,GBP,Outstanding,Adobe - Professional Services,2025-08-03,Priority Services Inc,58150.382271518996
2025-08,ENT102,AP050056,SAP Corporation,2025-08-08,2025-09-07,81623.47,103661.81,GBP,Outstanding,SAP - Professional Services,2025-08-08,SAP Corporation,103661.81
2025-08,ENT100,AP050057,Microsoft Corporation,2025-08-08,2025-09-07,98473.92,98473.92,USD,Disputed,Microsoft - Professional Services,2025-08-08,Microsoft Corporation,98473.92
2025-08,ENT100,AP050058,Cisco Corporation,2025-08-31,2025-09-13,89183.01,89183.01,USD,Disputed,Cisco - Professional Services,2025-08-31,Cisco Corporation,89183.01
2025-08,ENT100,AP050059,IBM Corporation,2025-08-03,2025-09-15,42967.02,42967.02,USD,Outstanding,IBM - Professional Services,2025-08-03,IBM Corporation,42967.02
2025-08,ENT102,AP050060,Microsoft Corporation,2025-08-29,2025-09-28,76341.63,96953.86,GBP,Outstanding,Microsoft - Professional Services,2025-08-29,Microsoft Corporation,96953.86
2025-08,ENT101,AP050061,Oracle Corporation,2025-08-06,2025-09-05,81390.44,87901.67,EUR,Disputed,Oracle - Professional Services,2025-08-06,Oracle Corporation,87901.67
2025-08,ENT102,AP050062,Urgent Solutions Group,2025-08-09,2025-09-01,57953.55,44349.60315925801,GBP,Outstanding,Cisco - Professional Services,2025-08-09,Urgent Solutions Group,44349.60315925801
2025-08,ENT101,AP050063,Amazon Corporation,2025-08-26,2025-09-25,49141.11,53072.4,EUR,Disputed,Amazon - Professional Services,2025-08-26,Amazon Corporation,53100.0
2025-08,ENT102,AP050064,Adobe Corporation,2025-08-31,2025-09-30,76748.75,97470.91,GBP,Paid,Adobe - Professional Services,2025-08-31,Adobe Corporation,97470.91
2025-08,ENT102,AP050065,IBM Corporation,2025-08-27,2025-09-26,91151.2,50000,GBP,Paid,IBM - Professional Services,2025-08-27,IBM Corporation,50000
2025-08,ENT100,AP050066,Cisco Corporation,2025-08-15,2025-09-14,29623.2,29623.2,USD,Outstanding,Cisco - Professional Services,2025-08-15,Cisco Corporation,29623.2
2025-08,ENT102,AP050067,SAP Corporation,2025-08-25,2025-09-24,78879.11,100176.47,GBP,Paid,SAP - Professional Services,2025-08-25,SAP Corporation,100176.47
2025-08,ENT102,AP050068,Oracle Corporation,2025-08-09,2025-09-08,46787.9,59420.63,GBP,Disputed,Oracle - Professional Services,2025-08-09,Oracle Corporation,59420.63
2025-08,ENT101,AP050069,Oracle Corporation,2025-08-09,2025-09-08,36905.52,39857.96,EUR,Disputed,Oracle - Professional Services,2025-08-09,Oracle Corporation,39857.96
2025-08,ENT100,AP050070,Amazon Corporation,2025-08-05,2025-09-04,26969.84,26969.84,USD,Disputed,Amazon - Professional Services,2025-08-05,Amazon Corporation,26969.84
2025-08,ENT100,AP050071,Oracle Corporation,2025-08-03,2025-09-02,44412.45,44412.45,USD,Paid,Oracle - Professional Services,2025-08-03,Oracle Corporation,44412.45
2025-08,ENT102,AP050072,Cisco Corporation,2025-08-14,2025-09-13,10915.24,13862.36,GBP,Paid,Cisco - Professional Services,2025-08-14,Cisco Corporation,13862.36
2025-08,ENT101,AP050073,Microsoft Corporation,2025-08-28,2025-09-27,88662.38,95755.37,EUR,Disputed,Microsoft - Professional Services,2025-08-28,Microsoft Corporation,95755.37
2025-08,ENT101,AP050074,Cisco Corporation,2025-08-01,2025-08-31,94560.46,102125.29,EUR,Paid,Cisco - Professional Services,2025-08-01,Cisco Corporation,102125.29
2025-08,ENT101,AP050075,IBM Corporation,2025-08-18,2025-09-17,76013.99,82095.11,EUR,Disputed,IBM - Professional Services,2025-08-18,IBM Corporation,82095.11
2025-08,ENT102,AP050076,Oracle Corporation,2025-08-16,2025-09-15,25845.06,32823.22,GBP,Paid,Oracle - Professional Services,2025-08-16,Oracle Corporation,32823.22
2025-08,ENT101,AP050077,Microsoft Corporation,2025-08-13,2025-09-12,36932.31,39886.89,EUR,Disputed,Microsoft - Professional Services,2025-08-13,Microsoft Corporation,39886.89
2025-08,ENT101,AP050078,Amazon Corporation,2025-08-27,2025-09-26,49402.06,53354.23,EUR,Outstanding,Amazon - Professional Services,2025-08-27,Amazon Corporation,53354.23
2025-08,ENT102,AP050079,Microsoft Corporation,2025-08-30,2025-09-29,42431.92,53888.54,GBP,Disputed,Microsoft - Professional Services,2025-08-30,Microsoft Corporation,53900.0
2025-08,ENT102,AP050080,Microsoft Corporation,2025-08-03,2025-09-02,66061.22,83897.75,GBP,Outstanding,Microsoft - Professional Services,2025-08-03,Microsoft Corporation,83897.75
2025-08,ENT101,AP050081,Amazon Corporation,2025-08-02,2025-09-01,29714.85,32092.04,EUR,Paid,Amazon - Professional Services,2025-08-02,Amazon Corporation,32100.0
2025-08,ENT100,AP050082,Cisco Corporation,2025-08-11,2025-09-10,37062.55,37062.55,USD,Paid,Cisco - Professional Services,2025-08-11,Cisco Corporation,37062.55
2025-08,ENT101,AP050083,IBM Corporation,2025-08-09,2025-09-08,84316.54,91061.86,EUR,Paid,IBM - Professional Services,2025-08-09,IBM Corporation,91061.86
2025-08,ENT100,AP050084,Microsoft Corporation,2025-08-31,2025-09-30,38246.23,38246.23,USD,Disputed,Microsoft - Professional Services,2025-08-31,Microsoft Corporation,38246.23
2025-08,ENT100,AP050085,Microsoft Corporation,2025-08-25,2025-09-24,7947.85,7947.85,USD,Outstanding,Microsoft - Professional Services,2025-08-25,Microsoft Corporation,7947.85
2025-08,ENT100,AP050086,Microsoft Corporation,2025-08-20,2025-09-19,19476.32,19476.32,USD,Outstanding,Microsoft - Professional Services,2025-08-20,Microsoft Corporation,19476.32
2025-08,ENT101,AP050087,Google Corporation,2025-08-19,2025-09-18,95036.92,102639.87,EUR,Paid,Google - Professional Services,2025-08-19,Google Corporation,102639.87
2025-08,ENT102,AP050088,SAP Corporation,2025-08-25,2025-09-24,40045.04,50857.2,GBP,Disputed,SAP - Professional Services,2025-08-25,SAP Corporation,50857.2
2025-08,ENT102,AP050089,Google Corporation,2025-08-25,2025-09-24,82833.61,105198.69,GBP,Paid,Google - Professional Services,2025-08-25,Google Corporation,105198.69
2025-08,ENT100,AP050090,Microsoft Corporation,2025-08-30,2025-09-29,34635.94,34635.94,USD,Disputed,Microsoft - Professional Services,2025-08-30,Microsoft Corporation,34635.94
2025-08,ENT101,AP050091,IBM Corporation,2025-08-31,2025-09-30,72926.4,78760.51,EUR,Outstanding,IBM - Professional Services,2025-08-31,IBM Corporation,78760.51
2025-08,ENT102,AP050092,Oracle Corporation,2025-08-04,2025-09-03,71233.34,90466.34,GBP,Paid,Oracle - Professional Services,2025-08-04,Oracle Corporation,90466.34
2025-08,ENT102,AP050093,Google Corporation,2025-08-26,2025-09-25,98465.21,75000,GBP,Outstanding,Google - Professional Services,2025-08-26,Google Corporation,75000
2025-08,ENT101,AP050094,IBM Corporation,2025-08-22,2025-09-21,40204.23,43420.57,EUR,Disputed,IBM - Professional Services,2025-08-22,IBM Corporation,43420.57
2025-08,ENT102,AP050095,Adobe Corporation,2025-08-01,2025-08-31,85709.68,108851.3,GBP,Paid,Adobe - Professional Services,2025-08-01,Adobe Corporation,108851.3
2025-08,ENT100,AP050096,Rapid Services Inc,2025-08-31,2025-09-30,39407.86,80391.34313168212,USD,Paid,IBM - Professional Services,2025-08-31,Rapid Services Inc,80391.34313168212
2025-08,ENT102,AP050097,Amazon Corporation,2025-08-14,2025-09-13,21733.01,27600.92,GBP,Disputed,Amazon - Professional Services,2025-08-14,Amazon Corporation,27600.92
2025-08,ENT102,AP050098,SAP Corporation,2025-08-20,2025-09-19,81778.93,103859.24,GBP,Disputed,SAP - Professional Services,2025-08-20,SAP Corporation,103900.0
2025-08,ENT101,AP050099,Rapid Services Inc,2025-08-14,2025-09-13,83444.79,31323.541190610154,EUR,Disputed,Cisco - Professional Services,2025-08-14,Rapid Services Inc,31323.541190610154
2025-08,ENT101,AP050100,Urgent Solutions Group,2025-08-28,2025-09-27,28322.04,60656.15361836504,EUR,Outstanding,Adobe - Professional Services,2025-08-28,Urgent Solutions Group,60656.15361836504
2025-08,ENT101,AP050101,Cisco Corporation,2025-08-08,2025-09-07,76295.25,82398.87,EUR,Disputed,Cisco - Professional Services,2025-08-08,Cisco Corporation,82398.87
2025-08,ENT102,AP050102,IBM Corporation,2025-08-11,2025-09-10,7726.5,9812.65,GBP,Paid,IBM - Professional Services,2025-08-11,IBM Corporation,9812.65
2025-08,ENT100,AP050103,Cisco Corporation,2025-08-07,2025-09-06,38708.37,38708.37,USD,Paid,Cisco - Professional Services,2025-08-07,Cisco Corporation,38708.37
2025-08,ENT101,AP050104,SAP Corporation,2025-08-29,2025-09-28,61634.73,66565.5,EUR,Paid,SAP - Professional Services,2025-08-29,SAP Corporation,66565.5
2025-08,ENT102,AP050105,Microsoft Corporation,2025-08-17,2025-09-16,95065.94,120733.75,GBP,Outstanding,Microsoft - Professional Services,2025-08-17,Microsoft Corporation,120733.75
2025-08,ENT100,AP050106,IBM Corporation,2025-08-16,2025-09-15,57741.74,57741.74,USD,Outstanding,IBM - Professional Services,2025-08-16,IBM Corporation,57741.74
2025-08,ENT102,AP050107,Cisco Corporation,2025-08-21,2025-09-20,72625.03,92233.79,GBP,Paid,Cisco - Professional Services,2025-08-21,Cisco Corporation,92233.79
2025-08,ENT100,AP050108,Google Corporation,2025-08-10,2025-09-09,26051.66,25000,USD,Disputed,Google - Professional Services,2025-08-10,Google Corporation,25000
2025-08,ENT100,AP050109,SAP Corporation,2025-08-22,2025-09-21,60247.78,60247.78,USD,Paid,SAP - Professional Services,2025-08-22,SAP Corporation,60247.78
2025-08,ENT102,AP050110,Adobe Corporation,2025-08-14,2025-09-13,99679.99,126593.59,GBP,Disputed,Adobe - Professional Services,2025-08-14,Adobe Corporation,126600.0
2025-08,ENT101,AP050111,Adobe Corporation,2025-08-23,2025-09-22,48105.8,51954.26,EUR,Paid,Adobe - Professional Services,2025-08-23,Adobe Corporation,51954.26
2025-08,ENT101,AP050112,Oracle Corporation,2025-08-04,2025-09-03,73522.01,100000,EUR,Paid,Oracle - Professional Services,2025-08-04,Oracle Corporation,100000
2025-08,ENT100,AP050113,Amazon Corporation,2025-08-07,2025-09-06,25556.54,25556.54,USD,Paid,Amazon - Professional Services,2025-08-07,Amazon Corporation,25556.54
2025-08,ENT101,AP050114,SAP Corporation,2025-08-04,2025-09-03,84099.69,10000,EUR,Paid,SAP - Professional Services,2025-08-04,SAP Corporation,10000
2025-08,ENT100,AP050115,Adobe Corporation,2025-08-06,2025-09-05,33715.42,33715.42,USD,Disputed,Adobe - Professional Services,2025-08-06,Adobe Corporation,33715.42
2025-08,ENT102,AP050116,Amazon Corporation,2025-08-09,2025-09-08,9323.99,11841.47,GBP,Outstanding,Amazon - Professional Services,2025-08-09,Amazon Corporation,11800.0
2025-08,ENT102,AP050117,SAP Corporation,2025-08-23,2025-09-22,94688.51,25000,GBP,Disputed,SAP - Professional Services,2025-08-23,SAP Corporation,25000
2025-08,ENT101,AP050118,Google Corporation,2025-08-28,2025-09-27,6165.21,6658.43,EUR,Paid,Google - Professional Services,2025-08-28,Google Corporation,6658.43
2025-08,ENT101,AP050119,Cisco Corporation,2025-08-15,2025-09-14,37367.06,40356.43,EUR,Outstanding,Cisco - Professional Services,2025-08-15,Cisco Corporation,40400.0
2025-08,ENT101,AP050120,Cisco Corporation,2025-08-04,2025-09-03,83100.99,89749.07,EUR,Paid,Cisco - Professional Services,2025-08-04,Cisco Corporation,89749.07
2025-08,ENT101,AP050121,Google Corporation,2025-08-19,2025-09-18,64797.34,69981.13,EUR,Outstanding,Google - Professional Services,2025-08-19,Google Corporation,69981.13
2025-08,ENT100,AP050122,Amazon Corporation,2025-08-26,2025-09-25,58469.76,58469.76,USD,Paid,Amazon - Professional Services,2025-08-26,Amazon Corporation,58469.76
2025-08,ENT100,AP050123,Oracle Corporation,2025-08-04,2025-09-03,58016.94,58016.94,USD,Paid,Oracle - Professional Services,2025-08-04,Oracle Corporation,58016.94
2025-08,ENT102,AP050124,Oracle Corporation,2025-08-25,2025-09-24,54644.39,69398.38,GBP,Paid,Oracle - Professional Services,2025-08-25,Oracle Corporation,69398.38
2025-08,ENT101,AP050125,SAP Corporation,2025-08-28,2025-09-27,60909.89,65782.68,EUR,Paid,SAP - Professional Services,2025-08-28,SAP Corporation,65782.68
2025-08,ENT101,AP050126,Microsoft Corporation,2025-08-20,2025-09-19,96210.33,103907.16,EUR,Outstanding,Microsoft - Professional Services,2025-08-20,Microsoft Corporation,103907.16
2025-08,ENT100,AP050127,Oracle Corporation,2025-08-09,2025-09-08,67740.67,67740.67,USD,Outstanding,Oracle - Professional Services,2025-08-09,Oracle Corporation,67740.67
2025-08,ENT100,AP050128,Amazon Corporation,2025-08-18,2025-09-17,12131.16,12131.16,USD,Outstanding,Amazon - Professional Services,2025-08-18,Amazon Corporation,12131.16
2025-08,ENT101,AP050129,Cisco Corporation,2025-08-23,2025-09-22,61412.06,66325.03,EUR,Paid,Cisco - Professional Services,2025-08-23,Cisco Corporation,66325.03
2025-08,ENT100,AP050130,Oracle Corporation,2025-08-10,2025-09-09,72160.8,72160.8,USD,Disputed,Oracle - Professional Services,2025-08-10,Oracle Corporation,72160.8
2025-08,ENT101,AP050131,Google Corporation,2025-08-22,2025-09-21,27175.26,29349.28,EUR,Paid,Google - Professional Services,2025-08-22,Google Corporation,29349.28
2025-08,ENT102,AP050132,Oracle Corporation,2025-08-14,2025-09-13,15903.75,20197.76,GBP,Outstanding,Oracle - Professional Services,2025-08-14,Oracle Corporation,20197.76
2025-08,ENT102,AP050133,Amazon Corporation,2025-08-30,2025-09-29,30235.08,38398.56,GBP,Outstanding,Amazon - Professional Services,2025-08-30,Amazon Corporation,38398.56
2025-08,ENT100,AP050134,Microsoft Corporation,2025-08-06,2025-09-05,80299.71,80299.71,USD,Disputed,Microsoft - Professional Services,2025-08-06,Microsoft Corporation,80299.71
2025-08,ENT102,AP050135,Priority Services Inc,2025-08-15,2025-09-14,16813.6,116026.69855514783,GBP,Disputed,SAP - Professional Services,2025-08-15,Priority Services Inc,116026.69855514783
2025-08,ENT101,AP050136,IBM Corporation,2025-08-31,2025-09-30,30863.39,33332.46,EUR,Disputed,IBM - Professional Services,2025-08-31,IBM Corporation,33332.46
2025-08,ENT101,AP050137,Cisco Corporation,2025-08-03,2025-09-02,61813.48,66758.56,EUR,Paid,Cisco - Professional Services,2025-08-03,Cisco Corporation,66758.56
2025-08,ENT102,AP050138,Adobe Corporation,2025-08-20,2025-09-19,28784.95,36556.89,GBP,Outstanding,Adobe - Professional Services,2025-08-20,Adobe Corporation,36556.89
2025-08,ENT100,AP050139,Microsoft Corporation,2025-08-25,2025-09-24,68866.75,68866.75,USD,Paid,Microsoft - Professional Services,2025-08-25,Microsoft Corporation,68866.75
2025-08,ENT102,AP050140,Microsoft Corporation,2025-08-25,2025-09-24,76845.54,97593.83,GBP,Paid,Microsoft - Professional Services,2025-08-25,Microsoft Corporation,97593.83
2025-08,ENT102,AP050141,Cisco Corporation,2025-08-30,2025-09-29,31424.87,50000,GBP,Disputed,Cisco - Professional Services,2025-08-30,Cisco Corporation,50000
2025-08,ENT101,AP050142,Cisco Corporation,2025-08-03,2025-09-02,49650.99,10000,EUR,Paid,Cisco - Professional Services,2025-08-03,Cisco Corporation,10000
2025-08,ENT101,AP050143,Adobe Corporation,2025-08-22,2025-09-21,14936.99,16131.95,EUR,Outstanding,Adobe - Professional Services,2025-08-22,Adobe Corporation,16131.95
2025-08,ENT101,AP050144,IBM Corporation,2025-08-23,2025-09-22,52069.56,56235.12,EUR,Disputed,IBM - Professional Services,2025-08-23,IBM Corporation,56235.12
2025-08,ENT101,AP050145,Microsoft Corporation,2025-08-15,2025-09-14,13365.68,14434.93,EUR,Paid,Microsoft - Professional Services,2025-08-15,Microsoft Corporation,14434.93
2025-08,ENT101,AP050146,Google Corporation,2025-08-25,2025-09-24,43396.63,10000,EUR,Disputed,Google - Professional Services,2025-08-25,Google Corporation,10000
2025-08,ENT100,AP050147,Cisco Corporation,2025-08-14,2025-09-13,10149.39,10149.39,USD,Disputed,Cisco - Professional Services,2025-08-14,Cisco Corporation,10149.39
2025-08,ENT101,AP050148,Cisco Corporation,2025-08-21,2025-09-20,46993.89,50753.4,EUR,Outstanding,Cisco - Professional Services,2025-08-21,Cisco Corporation,50800.0
2025-08,ENT100,AP050149,SAP Corporation,2025-08-18,2025-09-17,17446.26,17446.26,USD,Paid,SAP - Professional Services,2025-08-18,SAP Corporation,17446.26
2025-08,ENT101,AP050150,Cisco Corporation,2025-08-04,2025-09-03,7742.6,8362.0,EUR,Disputed,Cisco - Professional Services,2025-08-04,Cisco Corporation,8400.0
2025-08,ENT102,AP050151,Oracle Corporation,2025-08-23,2025-09-22,20045.93,25458.33,GBP,Disputed,Oracle - Professional Services,2025-08-23,Oracle Corporation,25458.33
2025-08,ENT100,AP050152,IBM Corporation,2025-08-03,2025-09-02,26346.56,26346.56,USD,Outstanding,IBM - Professional Services,2025-08-03,IBM Corporation,26346.56
2025-08,ENT101,AP050153,Google Corporation,2025-08-21,2025-09-20,84053.6,90777.89,EUR,Paid,Google - Professional Services,2025-08-21,Google Corporation,90777.89
2025-08,ENT102,AP050154,SAP Corporation,2025-08-17,2025-09-16,72014.1,91457.91,GBP,Paid,SAP - Professional Services,2025-08-17,SAP Corporation,91457.91
2025-08,ENT101,AP050155,Cisco Corporation,2025-08-08,2025-09-07,48394.71,52266.29,EUR,Outstanding,Cisco - Professional Services,2025-08-08,Cisco Corporation,52266.29
2025-08,ENT101,AP050156,Oracle Corporation,2025-08-30,2025-09-29,61940.87,25000,EUR,Disputed,Oracle - Professional Services,2025-08-30,Oracle Corporation,25000
2025-08,ENT100,AP050157,Google Corporation,2025-08-09,2025-09-08,78404.14,78404.14,USD,Paid,Google - Professional Services,2025-08-09,Google Corporation,78404.14
